customer_id,first_name,last_name,email,phone,country,city,address,created_at
1,Christine,Allen,ronald66@example.org,001-927-559-1638,Kiribati,Craigshire,"681 Price Wells Apt. 737, Port Linda, SC 62401",2024-04-23T02:54:08
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",2023-11-27T14:21:57
3,Laura,Wright,kellyvincent@example.com,2569046964,British Indian Ocean Territory (Chagos Archipelago),South Jonathan,"USNV Mitchell, FPO AA 62848",2024-12-02T20:50:12
4,Ryan,Green,courtneycastillo@example.net,(712)420-0034,Egypt,Patrickfort,"92638 Mark Cliff Apt. 179, Sanchezshire, UT 46241",2024-11-03T09:08:17
5,Maria,Bryan,gregory20@example.com,753-859-1798x020,Montserrat,Ericberg,"4580 Ashley Way Suite 827, Lake Anthony, NE 92136",2025-09-04T18:26:47
6,Robert,Graham,esherman@example.com,970.581.7462x7847,South Africa,Arthurbury,"21625 Ramos Spring, Travisfurt, NM 61703",2024-12-02T19:17:15
7,Amanda,Buck,davidmorris@example.org,691-314-0658x8169,Maldives,Frazierport,"032 Morales Springs, Carlton, MI 72719",2025-01-11T01:53:27
8,Keith,Thompson,brianmorris@example.org,326-980-6666x52040,Guinea-Bissau,Chasebury,"PSC 4907, Box 5986, APO AP 65785",2025-04-03T12:33:42
9,Eric,Hancock,lindsey56@example.com,372.959.9144x61999,Samoa,Scottbury,"027 Smith Pike, Richardville, VA 56620",2024-11-16T10:39:11
10,Robert,Lewis,qhahn@example.com,814-871-0850,Anguilla,Beasleyview,"6999 Pena Vista Apt. 842, West Ryanhaven, NY 16713",2025-09-11T08:58:11
11,Crystal,Jones,wmiller@example.com,001-781-910-9098x1861,Armenia,Wrightbury,"2551 Morris Points Suite 589, Austinview, AL 47182",2025-06-05T23:17:11
12,William,Brown,ricardocaldwell@example.org,962-976-3929,Liberia,West Anna,"43996 Hansen Cliff Apt. 751, South Daniel, WV 04658",2025-07-15T06:39:29
13,Fernando,Klein,felicia35@example.org,001-915-606-6495,Holy See (Vatican City State),Jamesland,"12641 Dunn Ports, Port Tinachester, GA 82890",2025-01-18T14:58:42
14,Sarah,Jackson,cannonlacey@example.net,(671)826-7045x644,Ghana,Port Eugeneborough,"72131 Melissa Freeway Apt. 342, Lake Aliciabury, OH 47095",2024-01-02T13:52:08
15,Kevin,Ramirez,zshelton@example.org,260-988-8405x385,Vanuatu,Kaitlinview,"32970 Clements Stravenue, South Thomaston, MS 44726",2025-01-21T18:19:04
16,Kevin,Mitchell,michaelgoodman@example.org,+1-832-960-0941,Macao,Adrianaton,"4969 Aguilar Fords, Joshuaport, IA 22511",2023-12-16T11:45:20
17,Jessica,Wilson,frankbennett@example.net,001-614-433-3012x14892,Solomon Islands,New Paul,"74019 Obrien Falls, Lake Alejandro, KS 49220",2024-03-13T13:54:31
18,Sarah,Hancock,amyclayton@example.org,282-857-2008,Antarctica (the territory South of 60 deg S),North Katrina,"044 Crosby Lights Suite 788, North Jillianburgh, TN 38862",2024-08-10T16:19:10
19,Thomas,Hernandez,cervantesjohn@example.com,2627087168,Niue,Davisstad,"893 Ray Prairie Suite 505, Port Amy, IL 80449",2024-12-03T07:00:09
20,Anthony,Allen,bvalencia@example.net,708-472-4550,Uganda,Lake Rickeytown,"03140 Sandoval Plaza Suite 828, Jaimebury, NC 65407",2025-09-10T12:55:09
21,Brittany,Flores,rogerskerri@example.org,381-809-3633x629,Eritrea,West Michaelfurt,"3018 John Burg, Anthonyburgh, FM 99845",2024-08-14T20:38:48
22,Olivia,Williams,djones@example.com,001-688-778-5827x331,Cyprus,Port Tamara,"4635 Cobb Pass, Victoriamouth, VA 29140",2025-08-27T17:13:55
23,Louis,Bailey,ymelton@example.net,(548)355-6127x377,Puerto Rico,Lake Paulfurt,"984 Gavin Passage Apt. 674, Kaufmanton, VI 39254",2023-11-28T20:02:57
24,William,Martin,nguyenterrence@example.org,001-521-514-4016,Morocco,Rollinsmouth,"1502 Randall Row Suite 629, New Brendaberg, KY 57775",2024-05-08T05:41:56
25,Eugene,Fernandez,connie63@example.net,640.564.0028,Honduras,Port Nathaniel,"93750 Miller Light Suite 460, Martinfurt, MS 65309",2024-07-28T20:42:39
26,Daniel,White,patricklloyd@example.com,921-897-9242x62289,Kenya,North Robertport,"5881 Rogers Tunnel, Michaelstad, OK 49813",2025-06-28T03:58:40
