customer_id,first_name,last_name,email,phone,country,city,customer_address,order_id,order_date,order_status,order_total,shipping_address,order_item_id,quantity,unit_price,item_subtotal,product_id,product_name,category,description,product_price,stock,payment_id,payment_method,payment_amount,payment_date,payment_status,transaction_id
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",35,2025-07-15T05:13:42,processing,53.76,"1681 Harris Stream, Hinesville, IL 22960",104,5,444.49,54.17,28,Main Study,Furniture,Crime serve level call product grow. Crime case say worker agency note large.,499.21,720,35,credit_card,600.2,2025-03-09T20:52:00,refunded,0ef6b289-f3c8-461b-8422-61ad10255b92
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",75,2025-10-07T04:05:40,shipped,706.44,"61672 Fernandez Mission Suite 370, Thomasburgh, FL 76233",230,4,335.17,446.87,36,Including Mission,Sports,Television news soon grow type all agent. Network include indeed man drug listen learn health.,198.56,302,75,paypal,938.59,2025-03-16T21:12:47,failed,73434de9-d6d7-4680-8f05-640872c15a13
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",75,2025-10-07T04:05:40,shipped,706.44,"61672 Fernandez Mission Suite 370, Thomasburgh, FL 76233",231,1,22.76,475.27,38,Two Protect,Furniture,Begin among its stay indicate police room. Blue race edge. Four only likely whose.,190.01,278,75,paypal,938.59,2025-03-16T21:12:47,failed,73434de9-d6d7-4680-8f05-640872c15a13
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",75,2025-10-07T04:05:40,shipped,706.44,"61672 Fernandez Mission Suite 370, Thomasburgh, FL 76233",232,3,280.52,68.83,33,Individual Federal,Beauty,Must get mean amount. Would to education goal girl.,472.32,36,75,paypal,938.59,2025-03-16T21:12:47,failed,73434de9-d6d7-4680-8f05-640872c15a13
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",75,2025-10-07T04:05:40,shipped,706.44,"61672 Fernandez Mission Suite 370, Thomasburgh, FL 76233",233,3,283.72,284.98,24,Letter Local,Home & Garden,Report shoulder standard especially. Change several the open full. Day wide provide key what five.,152.43,376,75,paypal,938.59,2025-03-16T21:12:47,failed,73434de9-d6d7-4680-8f05-640872c15a13
2,Veronica,Shaw,ngarner@example.net,001-818-436-7057,Tokelau,Port Sharonport,"9530 Sandra Mountain Apt. 743, Evansbury, MN 22419",75,2025-10-07T04:05:40,shipped,706.44,"61672 Fernandez Mission Suite 370, Thomasburgh, FL 76233",234,5,200.5,498.21,4,Strong Do,Books,Protect if heavy begin it each. Of side industry low store. Run control stand north.,102.09,0,75,paypal,938.59,2025-03-16T21:12:47,failed,73434de9-d6d7-4680-8f05-640872c15a13
3,Laura,Wright,kellyvincent@example.com,2569046964,British Indian Ocean Territory (Chagos Archipelago),South Jonathan,"USNV Mitchell, FPO AA 62848",183,2025-07-27T09:32:22,delivered,899.63,"874 Christina Throughway, Tiffanyton, DE 58209",541,2,384.05,379.22,47,Show Those,Home & Garden,You professional put cell protect. Significant paper two within current join.,299.37,212,183,paypal,576.83,2025-09-18T10:23:19,completed,dc8b0cc8-eb45-4a70-85b8-6215b018a9c4
3,Laura,Wright,kellyvincent@example.com,2569046964,British Indian Ocean Territory (Chagos Archipelago),South Jonathan,"USNV Mitchell, FPO AA 62848",183,2025-07-27T09:32:22,delivered,899.63,"874 Christina Throughway, Tiffanyton, DE 58209",542,2,499.79,149.63,9,Kind Too,Clothing,Sell bag soon nothing direction. Forward seek choose establish western become full.,468.13,709,183,paypal,576.83,2025-09-18T10:23:19,completed,dc8b0cc8-eb45-4a70-85b8-6215b018a9c4
3,Laura,Wright,kellyvincent@example.com,2569046964,British Indian Ocean Territory (Chagos Archipelago),South Jonathan,"USNV Mitchell, FPO AA 62848",183,2025-07-27T09:32:22,delivered,899.63,"874 Christina Throughway, Tiffanyton, DE 58209",543,5,310.99,94.9,8,Commercial Record,Electronics,Spend Mrs owner offer event responsibility.,479.56,800,183,paypal,576.83,2025-09-18T10:23:19,completed,dc8b0cc8-eb45-4a70-85b8-6215b018a9c4
4,Ryan,Green,courtneycastillo@example.net,(712)420-0034,Egypt,Patrickfort,"92638 Mark Cliff Apt. 179, Sanchezshire, UT 46241",89,2025-05-12T23:33:22,shipped,923.86,"6191 Wallace Unions Apt. 551, Scottmouth, GA 53724",277,5,370.42,253.47,15,Impact Yard,Beauty,Mission effort energy development budget try any. Play conference window benefit.,413.53,68,89,bank_transfer,641.53,2025-10-18T16:52:21,failed,f10e305e-3dc8-448e-b0f4-500eb51fbcae
